Run	SampleName	Population	Sex	BioSample	size_MB	bases
SRR5280495	AGGR01	aggressive	male	SAMN06434867	4928	7982409800
SRR5280494	AGGR02	aggressive	male	SAMN06434868	7824	12801007800
SRR5280493	AGGR03	aggressive	male	SAMN06434869	4675	7556387400
SRR5280492	AGGR04	aggressive	male	SAMN06434870	5199	8481582800
SRR5280491	AGGR05	aggressive	male	SAMN06434871	4714	7504825200
SRR5280490	AGGR06	aggressive	female	SAMN06434872	3970	6379177000
SRR5280489	AGGR07	aggressive	female	SAMN06434873	5233	8605261000
SRR5280488	AGGR08	aggressive	female	SAMN06434874	4012	6461860000
SRR5280487	AGGR09	aggressive	female	SAMN06434875	6043	9847972600
SRR5280486	AGGR10	aggressive	female	SAMN06434876	3845	6168683200
SRR5280485	CONV01	conventional	female	SAMN06434877	4406	7067177600
SRR5280484	CONV02	conventional	male	SAMN06434878	4541	7333050400
SRR5280483	CONV03	conventional	male	SAMN06434879	3582	5729224000
SRR5280482	CONV04	conventional	male	SAMN06434880	4089	6613923400
SRR5280481	CONV05	conventional	male	SAMN06434881	5110	8267281000
SRR5280480	CONV06	conventional	male	SAMN06434882	3796	5847884600
SRR5280479	CONV07	conventional	female	SAMN06434883	4561	7077442800
SRR5280478	CONV08	conventional	female	SAMN06434884	4241	6550036800
SRR5280477	CONV09	conventional	female	SAMN06434885	4526	7023554800
SRR5280476	CONV10	conventional	female	SAMN06434886	3895	5989052200
SRR5280510	TAME01	tame	female	SAMN06434857	3867	6490340400
SRR5280509	TAME02	tame	male	SAMN06434858	4308	7104113200
SRR5280508	TAME03	tame	female	SAMN06434859	3998	6624916600
SRR5280507	TAME04	tame	male	SAMN06434860	4415	7284792400
SRR5280506	TAME05	tame	male	SAMN06434861	3841	6259233600
SRR5280505	TAME06	tame	female	SAMN06434862	3796	6336578400
SRR5280504	TAME07	tame	female	SAMN06434863	4679	7660003400
SRR5280503	TAME08	tame	female	SAMN06434864	5257	8897603600
SRR5280502	TAME09	tame	male	SAMN06434865	4356	7178012400
SRR5280501	TAME10	tame	male	SAMN06434866	7096	12072904200
