Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR5280480,2018-02-26 00:03:25,2017-02-23 12:48:27,29239423,5847884600,29239423,200,3796,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR005/280/SRR5280480.sralite.1,SRX2584172,CONV06,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP100625,PRJNA376561,,376561,SRS1997999,SAMN06434882,simple,9627,Vulpes vulpes,CONV06,,,,,male,,no,,,,,UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,SRA539946,,public,B991FCF9DCC0453F7537376EF803A3F8,63110BC4533F362E968D891973649E8A
SRR5280479,2018-02-26 00:03:25,2017-02-23 12:47:42,35387214,7077442800,35387214,200,4561,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR005/280/SRR5280479.sralite.1,SRX2584171,CONV07,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP100625,PRJNA376561,,376561,SRS1997998,SAMN06434883,simple,9627,Vulpes vulpes,CONV07,,,,,female,,no,,,,,UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,SRA539946,,public,35BD16B701DAE39E76C5247DC13179B1,CB1319D1814AC927681E098F864BB986
SRR5280478,2018-02-26 00:03:25,2017-02-23 12:46:17,32750184,6550036800,32750184,200,4241,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR005/280/SRR5280478.sralite.1,SRX2584170,CONV08,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP100625,PRJNA376561,,376561,SRS1997997,SAMN06434884,simple,9627,Vulpes vulpes,CONV08,,,,,female,,no,,,,,UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,SRA539946,,public,9147F20BBDE06C34B78BD7AC1D8AF831,2155FAF80C23B6557EF315A100BF8837
SRR5280477,2018-02-26 00:03:25,2017-02-23 12:45:09,35117774,7023554800,35117774,200,4526,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR005/280/SRR5280477.sralite.1,SRX2584169,CONV09,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP100625,PRJNA376561,,376561,SRS1997996,SAMN06434885,simple,9627,Vulpes vulpes,CONV09,,,,,female,,no,,,,,UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,SRA539946,,public,1F6C431A2825B6BA346A0D496D72EABD,2600187121B962AA25D04272C9B04CE2
SRR5280476,2018-02-26 00:03:25,2017-02-23 13:02:51,29945261,5989052200,29945261,200,3895,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR005/280/SRR5280476.sralite.1,SRX2584168,CONV10,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP100625,PRJNA376561,,376561,SRS1997995,SAMN06434886,simple,9627,Vulpes vulpes,CONV10,,,,,female,,no,,,,,UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,SRA539946,,public,D8231F7D4076F70CC7C8536C0CF8C465,0926FC34163E11C19AFE8DC74483DDC9
SRR5280485,2018-02-26 00:03:26,2017-02-23 12:54:27,35335888,7067177600,35335888,200,4406,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR005/280/SRR5280485.sralite.1,SRX2584177,CONV01,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP100625,PRJNA376561,,376561,SRS1998004,SAMN06434877,simple,9627,Vulpes vulpes,CONV01,,,,,female,,no,,,,,UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,SRA539946,,public,8A5489D9300F65307E315D00B8160D5C,6EB53930A8287A4AC519E0E9AB3B85A9
SRR5280484,2018-02-26 00:03:26,2017-02-23 12:54:18,36665252,7333050400,36665252,200,4541,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR005/280/SRR5280484.sralite.1,SRX2584176,CONV02,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP100625,PRJNA376561,,376561,SRS1998003,SAMN06434878,simple,9627,Vulpes vulpes,CONV02,,,,,male,,no,,,,,UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,SRA539946,,public,31DEFD0990E246FBAD797A6D0F5307E1,59DD6FF90FB3D61DE0320F9F6A79CF2B
SRR5280483,2018-02-26 00:03:25,2017-02-23 12:46:17,28646120,5729224000,28646120,200,3582,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR005/280/SRR5280483.sralite.1,SRX2584175,CONV03,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP100625,PRJNA376561,,376561,SRS1998002,SAMN06434879,simple,9627,Vulpes vulpes,CONV03,,,,,male,,no,,,,,UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,SRA539946,,public,0034AB33A4A169F3B91C9AFFA0438ED9,8322A4C54A47802020B67243C06D79A3
SRR5280482,2018-02-26 00:03:25,2017-02-23 12:48:07,33069617,6613923400,33069617,200,4089,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR005/280/SRR5280482.sralite.1,SRX2584174,CONV04,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP100625,PRJNA376561,,376561,SRS1998001,SAMN06434880,simple,9627,Vulpes vulpes,CONV04,,,,,male,,no,,,,,UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,SRA539946,,public,D5763B27AA0B404FF64CBE05410A12C4,B69ECF0EA1192AF9FDE33F27A654FA9F
SRR5280481,2018-02-26 00:03:25,2017-02-23 12:53:46,41336405,8267281000,41336405,200,5110,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR005/280/SRR5280481.sralite.1,SRX2584173,CONV05,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP100625,PRJNA376561,,376561,SRS1998000,SAMN06434881,simple,9627,Vulpes vulpes,CONV05,,,,,male,,no,,,,,UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,SRA539946,,public,51082471C4E2108ABF45B91E8FB1A07F,C116E717E45E4D588EE51362FC52181E
SRR5280490,2018-02-26 00:03:26,2017-02-23 12:52:07,31895885,6379177000,31895885,200,3970,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR005/280/SRR5280490.sralite.1,SRX2584182,AGGR06,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP100625,PRJNA376561,,376561,SRS1998009,SAMN06434872,simple,9627,Vulpes vulpes,AGGR06,,,,,female,,no,,,,,UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,SRA539946,,public,F20FBA9F25EE9E266AEC83A4270A9717,AC5D8090264AFC94535E574FFBAE68D9
